RaceId,Position,Driver,Team,Points,DNF,Pos_Change,Qualifying
138,1,STB SemmieK,Red Bull,25,No,3,4
138,2,TFS Marcos,Alfa Romeo,18,No,3,5
138,3,Rev Caterpillar,Alpine,15,No,6,9
138,4,Rev Caterpillar,Ferrari,12,No,2,6
138,5,Bl3nd,Haas,10,No,-4,1
138,6,PuR Rosberg,Mercedes,8,No,-3,3
138,7,AliFerrari5,Alfa Romeo,6,No,4,11
138,8,Raikko58,Mercedes,4,No,8,16
138,9,PTR Oliveira,Aston Martin,2,No,5,14
138,10,BRS Ermine,Alpha Tauri,2,No,-2,8
138,11,Giibs,Alpine,0,No,-4,7
138,12,F1X Maurick,Williams,0,No,1,13
138,13,Arjun Samra,Mclaren,0,Yes,4,17
138,14,SLR Johan,Ferrari,0,Yes,1,15
138,15,KTFe Felipe,Red Bull,0,Yes,-5,10
138,16,F1X Dilema,Williams,0,Yes,3,19
138,17,IPdroo,Haas,0,Yes,1,18
138,18,II Mafio II,Alpha Tauri,0,Yes,-6,12
138,19,RBT Akosili,Mclaren,0,Yes,-17,2
139,1,AliFerrari5,Alfa Romeo,25,No,2,3
139,2,STB SemmieK,Red Bull,18,No,0,2
139,3,KTFe Felipe,Red Bull,15,No,8,11
139,4,Rev Caterpillar,Alpine,12,No,0,4
139,5,RBT Akosili,Mclaren,10,No,1,6
139,6,BRL Bruno Will,Haas,8,No,10,16
139,7,Arjun Samra,Mclaren,6,No,5,12
139,8,PuR Rosberg,Mercedes,4,No,-7,1
139,9,TFS Marcos,Alfa Romeo,2,No,1,10
139,10,Raikko58,Mercedes,1,No,7,17
139,11,TMR Mezza,Ferrari,0,No,-2,9
139,12,MCWeekes12,Haas,0,No,-4,8
139,13,Joey1854,Aston Martin,0,No,-6,7
139,14,RP1 Ilton,Ferrari,0,Yes,-9,5
139,15,II Mafio II,Alpha Tauri,0,Yes,-2,13
139,16,BRS Ermine,Alpha Tauri,0,Yes,-2,14
139,17,Rokori,Williams,0,Yes,-2,15
140,1,STB SemmieK,Red Bull,25,No,1,2
140,2,RBT Akosili,Mclaren,18,No,1,3
140,3,II Mafio II,Alpha Tauri,15,No,7,10
140,4,RP1 Ilton,Mercedes,12,No,1,5
140,5,IRT Salvador,Alpine,10,No,11,16
140,6,Arjun Samra,Mclaren,8,No,1,7
140,7,TFS Marcos,Alfa Romeo,6,No,-1,6
140,8,AliFerrari5,Alfa Romeo,4,No,7,15
140,9,BRS Ermine,Alpha Tauri,3,No,-5,4
140,10,PuR Ultraa,Red Bull,1,No,3,13
140,11,TMR Mezza,Aston Martin,0,No,-3,8
140,12,Raikko58,Mercedes,0,Yes,0,12
140,13,PuR Vincent,Williams,0,Yes,-4,9
140,14,IRT Villen,Ferrari,0,Yes,0,14
140,15,PTR Oliveira,Aston Martin,0,Yes,-4,11
140,16,Lbowman,Haas,0,Yes,-15,1
141,1,Modesto Mena,Ferrari,26,No,0,1
141,2,Kevin Diniz,Alpine,18,No,8,10
141,3,TFS Marcos,Alfa Romeo,15,No,10,13
141,4,TMR Mezza,Aston Martin,12,No,3,7
141,5,STB SemmieK,Red Bull,10,No,-2,3
141,6,RCX Stefanko,Williams,8,No,-1,5
141,7,Rev Caterpillar,Ferrari,6,No,2,9
141,8,BRS Ermine,Alpha Tauri,4,No,6,14
141,9,CDR Ant1,Haas,2,No,-5,4
141,10,CDR Menezes,Mercedes,1,No,6,16
141,11,RBT Akosili,Mclaren,0,No,-9,2
141,12,AEM Trisss,Aston Martin,0,No,-4,8
141,13,II Mafio II,Alpha Tauri,0,No,-7,6
141,14,Joey1854,Alfa Romeo,0,No,-2,12
141,15,F1X Maurick,Haas,0,No,2,17
141,16,LCR F1ben23,Mercedes,0,No,-5,11
141,17,Arjun Samra,Mclaren,0,No,-2,15
142,1,Modesto Mena,Ferrari,25,No,0,1
142,2,Rev Caterpillar,Ferrari,18,No,1,3
142,3,Arda Gunay,Williams,15,No,-1,2
142,4,CDR Ant1,Alpine,12,No,5,9
142,5,RBT Akosili,Mclaren,10,No,0,5
142,6,F1X Maurick,Haas,8,No,12,18
142,7,STB SemmieK,Red Bull,6,No,1,8
142,8,TFS Marcos,Alfa Romeo,4,No,11,19
142,9,Arjun Samra,Mclaren,2,No,11,20
142,10,SupplyRaptor,Alfa Romeo,2,No,1,11
142,11,II Mafio II,Alpha Tauri,0,Yes,3,14
142,12,CDR Menezes,Mercedes,0,Yes,4,16
142,13,RCX Stefanko,Williams,0,Yes,-6,7
142,14,KTFe Felipe,Red Bull,0,Yes,-8,6
142,15,Jan Haladej,Aston Martin,0,Yes,-11,4
142,16,BRS Ermine,Alpha Tauri,0,Yes,-1,15
142,17,TMR Mezza,Aston Martin,0,Yes,-4,13
142,18,LCR F1ben23,Mercedes,0,Yes,-8,10
142,19,IPdroo,Haas,0,Yes,-2,17
142,20,Giibs,Alpine,0,Yes,-8,12
143,1,Modesto Mena,Ferrari,25,No,0,1
143,2,Jan Haladej,Aston Martin,18,No,0,2
143,3,STB SemmieK,Red Bull,16,No,1,4
143,4,Rev Caterpillar,Ferrari,12,No,1,5
143,5,RCX WazzaX,Alpha Tauri,10,No,-2,3
143,6,KTFe Felipe,Red Bull,8,No,2,8
143,7,Arjun Samra,Mclaren,6,No,3,10
143,8,F1X Maurick,Haas,4,No,7,15
143,9,Joey1854,Haas,2,No,8,17
143,10,MCWeekes12,Williams,0,Yes,1,11
143,11,II Mafio II,Alpha Tauri,0,Yes,-2,9
143,12,TFS Marcos,Alfa Romeo,0,Yes,2,14
143,13,RBT Akosili,Mclaren,0,Yes,-6,7
143,14,TMR Mezza,Aston Martin,0,Yes,-1,13
143,15,CDR Ant1,Alpine,0,Yes,-9,6
143,16,CDR Menezes,Mercedes,0,Yes,0,16
143,17,LCR F1ben23,Mercedes,0,Yes,-5,12
